worker_id,timestamp,ambient_temp_c,uv_index,gas_ppm,noise_db,body_temp_c,heart_rate_bpm,baseline_hr_bpm,baseline_body_temp_c,hr_deviation_pct,body_temp_deviation_pct,risk_level
W046,01/06/2025 08:00,18.84,1.41,142.39,54.53,37.14,63.2,68,37.14,-7.06,0,Safe
W049,01/06/2025 08:00,19.47,0.97,81.33,57.98,35.79,76.3,78.1,36.28,-2.3,-1.35,Safe
W060,01/06/2025 08:01,39.71,2.46,112.87,72.53,37.08,85,87.3,36.62,-2.63,1.26,Critical
W090,01/06/2025 08:01,19.34,1.22,34.77,53.97,34.79,76.6,88.4,35.41,-13.35,-1.75,Safe
W060,01/06/2025 08:02,20.94,2.03,130.74,66.09,35.93,79.4,87.3,36.62,-9.05,-1.88,Safe
W048,01/06/2025 08:02,27.39,2.31,84.17,66.81,37.25,99.6,84.3,36.48,18.15,2.11,Warning
W071,01/06/2025 08:03,23.3,2.53,104.68,55.94,35.02,122.7,89.1,35.76,37.71,-2.07,Critical
W071,01/06/2025 08:03,22.81,2.34,65.9,73.25,35.75,121.5,89.1,35.76,36.36,-0.03,Critical
W001,01/06/2025 08:04,22.46,2.37,128.64,66.85,32.96,80.3,74.4,37.85,7.93,-12.92,Critical
W050,01/06/2025 08:04,23.89,6.57,82.28,78.48,35.89,69.8,65.6,35.32,6.4,1.61,Warning
W037,01/06/2025 08:05,20.65,2.06,120.38,61.38,34.13,71,65.1,37.45,9.06,-8.87,Critical
W080,01/06/2025 08:05,24.74,10.57,81.2,77.51,38.27,71.2,70.9,37.18,0.42,2.93,Critical
W019,01/06/2025 08:06,41.81,2.67,221.74,74.5,35,97.4,72.6,35.29,34.16,-0.82,Critical
W019,01/06/2025 08:06,22.38,1.93,96.18,77.18,37.18,74.6,72.6,35.29,2.75,5.36,Warning
W032,01/06/2025 08:07,25.56,2.88,36.69,60.43,36.82,77.2,85.7,36.07,-9.92,2.08,Safe
W032,01/06/2025 08:07,39.19,0.97,38.55,63.54,36.85,91.8,85.7,36.07,7.12,2.16,Critical
W065,01/06/2025 08:08,24.17,2.22,88.69,67.5,36.98,81.8,65.2,36.53,25.46,1.23,Warning
W004,01/06/2025 08:08,22.58,2.05,53,97.57,38.55,71.4,66.5,37.6,7.37,2.53,Critical
W047,01/06/2025 08:09,26.41,1.91,71.31,76.81,32.3,87.4,84,36.68,4.05,-11.94,Critical
W045,01/06/2025 08:09,23.98,1.71,62.51,78.2,38.94,81.2,87.2,36.42,-6.88,6.92,Warning
W081,01/06/2025 08:10,20.37,0.98,115.24,84.98,37.59,68.3,74.2,36.9,-7.95,1.87,Warning
W033,01/06/2025 08:10,23.08,1.81,54.07,55.15,41.51,77.7,72,36.63,7.92,13.32,Critical
W087,01/06/2025 08:11,22.46,1.97,110.79,57.69,33.44,82.8,77.8,35.68,6.43,-6.28,Warning
W013,01/06/2025 08:11,18.88,0.16,100.76,73.8,37.5,85.4,76.4,37.36,11.78,0.37,Safe
W022,01/06/2025 08:12,28.8,2.01,144.95,64.24,37.83,64.7,65.9,37.73,-1.82,0.27,Warning
W083,01/06/2025 08:12,19.35,1.87,20.56,67.6,37.94,63.2,67.3,37.51,-6.09,1.15,Safe
W053,01/06/2025 08:13,22.03,1.99,109.39,61.37,40.17,91.2,87.7,35.75,3.99,12.36,Critical
W088,01/06/2025 08:13,23.79,6.12,133.17,62.11,35.36,83.1,81.1,35.52,2.47,-0.45,Warning
W037,01/06/2025 08:14,25.45,1.61,88.63,88.02,38.57,67.2,65.1,37.45,3.23,2.99,Critical
W035,01/06/2025 08:14,20.9,2.43,137.89,69.31,36.99,78.8,66.9,37.96,17.79,-2.56,Warning
W042,01/06/2025 08:15,22.35,7.02,95.14,72.15,34.63,66.3,73.3,35.19,-9.55,-1.59,Warning
W018,01/06/2025 08:15,24.75,6.16,102.24,69.55,37.29,93.6,89.1,37.43,5.05,-0.37,Warning
W062,01/06/2025 08:16,26.16,1.7,353.16,60.03,35.97,73.7,73,35.33,0.96,1.81,Critical
W003,01/06/2025 08:16,20.32,2.67,77.05,77.81,34.92,60.2,68.9,35.47,-12.63,-1.55,Safe
W075,01/06/2025 08:17,22.7,6.3,30.35,74.9,36.19,68.2,66.3,35.84,2.87,0.98,Warning
W018,01/06/2025 08:17,23.97,2.36,236.21,73.82,38.19,80.7,89.1,37.43,-9.43,2.03,Warning
W070,01/06/2025 08:18,26.52,1.25,81.05,55.28,37.97,72.8,74.1,37.92,-1.75,0.13,Safe
W062,01/06/2025 08:18,24.26,0.93,98.07,72.63,33.17,74.1,73,35.33,1.51,-6.11,Warning
W050,01/06/2025 08:19,24,6.1,88.34,57.98,34.94,59.7,65.6,35.32,-8.99,-1.08,Warning
W037,01/06/2025 08:19,24.75,1.56,64.81,76.82,35.51,68.4,65.1,37.45,5.07,-5.18,Warning
